,Fabrikalar,Mudur_Sayisi,Mudur_Maasi,Mudur_Puani,Calisan_Sayisi,Calisan_Maasi,Calisan_Puani,Satis_Pazarlama_Mudur_Sayisi,Satis_Pazarlama_Mudur_Puani,Satis_Pazarlama_Mudur_Maasi,Satis_Pazarlama_Calisan_Eleman_Sayisi,Satis_Pazarlama_Calisan_Eleman_Puani,Satis_Pazarlama_Calisan_Eleman_Maasi,Makine_Maaliyeti,Calisan_Mesai,Mola_Suresi,Makine_Sayisi,Makine_Haftalik_Bakim,Makine_Bakim_Ucreti,Veri_Analizi_Mudur_Sayisi,Veri_Analizi_Mudur_Puani,Veri_Analizi_Mudur_Maasi,Veri_Analizi_Calisan_Sayisi,Veri_Analizi_Calisan_Puani,Veri_Analizi_Calisan_Maasi,Depo_Sayisi,Isci_Memnuniyeti,Lojistik_Sayisi,Lojistik_Puani,Ortalama_Calisma_Suresi,Uretim_Hizi,Uretim_Miktari,Urun_Hata_Orani,Fabrika_Giderleri,Urun_Basi_Maliyet,Urun_Basi_Kar,Urun_Min_Satis_Fiyati,Urun_Max_Satis_Fiyati,Hammadde_Cesidi,Kaucuk_Alis_Fiyati,Kaucuk_Satis_Fiyati,Kaucuk_Kalitesi,Motorsiklet_Lastik_Performansi,Traktor_Lastik_Performansi,Bisiklet_Lastik_Performansi,SUV_Lastik_Performansi,Yazlik_Lastik_Performansi,Dort_Mevsim_Lastik_Performansi,Kislik_Lastik_Performansi,Lastik_Capi,Lastik_Agirligi,Lastik_Ebati,Kuru_Zemin_Fren,Islak_Zemin_Fren,Karli_Zemin_Fren,Konfor,Viraj_Donus_Puan,Yol_Temasi,Direksiyon_Hakimiyeti,Yakit_Tuketimi,Yuk_Endeksi,Off_Road_Uygunlugu,Sirt_Deseni,Gurultu,Asinma,Centik_Sayisi
749,Fabrika 750,8,7.922,5,6493,5009,5,15,6,9733,5350,5,5208,425520,14,44,4678,2,6199,8,10,16641,6498,10,9753,56,8,25,7,49,7,349842,1,862904,30,80,235,504,2,41328,35361,9,9,8,6,8,8,5,7,18,6,5,9,10,9,10,9,9,8,6,6,5,8,5,7,6
750,Fabrika 751,9,8.755,8,5062,6695,7,7,6,8952,6848,10,7137,187515,16,45,5698,3,7386,10,10,15672,5085,10,11649,55,9,33,8,33,5,308160,4,878474,55,62,238,869,3,38427,39099,10,6,5,10,9,6,6,7,12,6,10,9,8,7,5,6,8,10,10,7,7,9,10,9,8
751,Fabrika 752,11,13.448,6,4694,6532,8,15,10,12178,5347,6,5351,114559,6,37,7209,3,6610,6,10,18094,6458,10,10995,41,5,45,10,35,9,167258,4,952932,72,103,209,640,1,42915,37275,5,7,9,10,8,5,10,6,14,6,5,7,8,8,10,6,5,7,5,6,7,9,9,10,7
752,Fabrika 753,9,12.781,7,4670,5595,9,12,6,13417,4521,7,7183,242254,21,27,6220,3,5017,8,10,17484,5099,10,8149,48,9,49,10,36,10,130122,3,622317,53,115,227,491,1,40916,44692,9,6,6,10,5,6,9,10,17,6,6,8,10,9,6,8,8,9,8,7,5,5,7,9,8
753,Fabrika 754,12,14.491,6,7414,5700,5,12,6,7678,6226,7,4518,220757,11,28,7459,2,6339,8,10,19292,7456,10,13067,25,9,28,6,26,6,465919,3,731579,49,120,219,585,1,40914,37838,5,6,5,10,10,10,5,7,18,6,5,8,10,7,6,8,5,9,6,5,10,9,6,5,8
754,Fabrika 755,13,12.164,10,5241,7336,9,14,5,13190,5760,9,7248,148207,7,41,5692,2,5506,5,10,18340,6972,10,9850,51,6,31,8,31,7,399782,1,529457,43,84,206,510,1,35114,39399,9,9,6,10,9,10,9,8,18,6,10,5,10,5,10,8,8,5,8,5,6,8,6,9,9
755,Fabrika 756,14,11.619,5,5900,5366,5,9,7,9915,6180,10,7455,414673,10,28,6704,2,5960,7,10,15000,6348,10,13951,34,7,36,5,47,5,128714,4,963978,49,88,219,841,3,43488,39867,7,5,5,5,10,9,7,10,16,6,7,10,6,9,6,7,7,8,9,5,9,10,6,10,6
756,Fabrika 757,9,11.140,7,5737,5489,6,12,9,8555,6645,6,6088,412830,21,40,5845,3,5382,6,10,16123,6299,10,10200,37,10,31,10,42,7,462819,4,868476,53,82,231,945,1,43327,44993,7,10,5,8,9,8,5,8,18,6,6,7,6,9,10,5,9,10,10,8,7,10,9,7,9
757,Fabrika 758,15,9.992,8,4941,4816,7,10,8,7718,4941,10,6617,377365,12,29,5947,3,6889,7,10,15854,5284,10,13510,30,5,30,9,33,10,151364,5,629441,54,101,214,521,1,37924,42384,5,5,8,10,6,6,9,10,12,6,9,7,6,10,7,6,9,6,10,10,7,7,7,5,7
758,Fabrika 759,12,8.737,10,5649,6701,9,11,9,12734,4634,7,6644,480897,17,45,6712,3,6427,7,10,16662,4634,10,8309,48,10,38,8,38,5,448275,4,541425,42,76,215,690,2,41927,43786,8,5,10,5,9,8,9,10,17,6,10,5,10,5,6,6,5,6,6,10,6,6,5,7,9
759,Fabrika 760,12,8.422,7,6370,6501,7,14,9,9794,5362,9,4643,126108,20,37,6180,3,6628,9,10,18407,6826,10,12533,44,10,47,9,34,10,177198,5,714839,68,75,234,786,3,42604,43447,6,8,6,10,10,5,7,8,13,6,10,8,10,8,10,7,7,5,9,6,5,8,7,6,6
760,Fabrika 761,9,9.995,5,6081,7434,10,13,7,13748,6035,8,4903,487225,16,39,7358,3,7012,9,10,17478,6870,10,9654,38,10,42,6,29,8,200159,5,895397,42,110,218,942,3,40741,38310,8,5,7,7,6,5,10,8,18,6,7,8,10,6,5,10,10,5,8,8,8,7,5,7,8
761,Fabrika 762,9,11.327,6,5659,4686,7,14,7,9236,5975,5,6356,482714,11,41,6318,3,6432,7,10,19642,6129,10,14497,49,10,38,10,42,8,141112,3,839775,44,118,213,637,1,39192,42849,9,7,8,5,5,7,8,5,14,6,10,8,5,8,5,9,6,5,9,6,7,10,10,8,9
762,Fabrika 763,7,8.767,10,5135,7445,10,10,8,13157,6692,10,6876,364902,9,30,4716,2,5628,10,10,16525,7015,10,8485,51,6,45,5,35,8,359900,3,801990,35,108,232,853,1,36062,41553,5,10,9,6,9,7,8,7,12,6,6,7,8,8,7,10,5,9,10,8,10,5,10,5,10
763,Fabrika 764,10,10.020,10,6592,5427,7,13,10,8116,5373,10,7125,445471,6,44,6119,2,5637,8,10,16153,5522,10,9390,48,5,34,7,33,8,216488,3,676938,32,84,233,849,1,36938,36973,6,8,8,9,7,8,8,10,17,6,7,8,6,8,8,5,5,8,7,6,5,10,8,8,5
764,Fabrika 765,10,9.148,5,5543,6296,6,15,7,14692,7496,9,5154,437611,18,27,4867,3,7358,8,10,18047,7251,10,11431,50,8,27,8,26,9,359092,2,558345,60,118,229,740,2,42560,35161,7,9,9,10,5,9,8,7,12,6,9,8,6,7,9,9,6,6,6,9,8,10,10,8,6
765,Fabrika 766,14,10.570,5,7097,6033,6,13,10,14563,6012,5,6908,277244,9,35,5357,3,5785,6,10,16760,6448,10,12316,53,10,47,9,33,7,278434,1,693185,79,95,222,814,1,38600,43776,5,6,10,7,6,6,7,7,13,6,5,6,9,6,6,10,9,9,5,6,10,9,7,10,9
766,Fabrika 767,7,7.649,7,5451,6850,9,14,9,12539,4517,9,6069,160140,5,31,6025,2,6752,6,10,15836,5988,10,13353,47,7,50,5,31,6,205063,1,769803,33,61,221,906,1,41733,38156,10,8,10,9,6,5,8,5,17,6,7,9,8,6,10,6,6,7,9,6,9,8,6,7,9
767,Fabrika 768,13,11.228,5,5180,6210,10,8,5,10792,4701,5,6493,365185,19,48,5142,3,6602,6,10,16602,6829,10,12684,47,6,38,10,43,7,386986,2,811580,27,73,204,941,3,44728,40118,10,9,5,8,8,7,8,5,19,6,6,6,5,6,8,7,6,6,5,5,9,10,5,9,7
768,Fabrika 769,7,10.457,5,5773,6884,7,15,5,14123,7100,9,6778,114311,17,30,6147,3,5063,10,10,16067,6091,10,10438,25,10,41,9,50,5,423430,3,651361,37,88,212,925,2,40701,40690,6,6,8,6,5,6,9,8,16,6,9,5,6,9,6,8,7,7,9,5,6,6,8,5,6
769,Fabrika 770,15,10.078,7,5183,5496,5,10,10,10805,6977,7,6147,172724,9,36,6724,3,6308,9,10,19896,6819,10,9460,47,10,26,10,50,7,461541,3,986417,40,77,218,690,3,35329,37283,10,9,7,7,7,9,9,7,17,6,6,5,6,9,5,10,7,7,5,5,9,8,10,8,5
770,Fabrika 771,10,12.486,10,6800,6747,9,12,10,9966,5990,7,7459,494918,18,40,5096,3,4813,9,10,16160,4660,10,14611,29,5,47,7,41,10,172282,4,574036,67,97,203,747,3,41754,40386,7,10,5,5,6,9,5,5,16,6,5,7,10,5,9,10,9,9,5,9,8,7,9,9,6
771,Fabrika 772,9,8.067,10,5308,6062,6,15,6,8855,4879,6,6786,394777,8,46,4540,3,6504,9,10,15909,4675,10,13149,29,5,47,10,41,6,218967,3,672289,35,99,219,653,3,43735,42931,5,9,5,9,5,9,8,5,18,6,10,6,8,7,6,10,7,7,8,7,9,8,8,8,5
772,Fabrika 773,15,11.337,8,5458,6358,7,11,7,8830,5641,10,5866,470134,5,48,6273,2,4853,8,10,19863,5383,10,12273,29,5,25,6,36,9,319800,1,801992,40,68,221,546,3,38809,39463,7,5,10,9,7,6,5,10,20,6,10,10,7,7,8,5,8,8,9,9,8,8,9,5,8
773,Fabrika 774,7,14.547,8,4507,7389,9,10,8,13703,7259,10,7285,172119,22,28,6090,2,5341,5,10,19510,5230,10,11211,48,8,45,8,42,7,371637,3,956538,75,114,204,764,3,36863,42713,9,8,5,9,6,10,7,6,15,6,6,9,7,9,5,9,5,7,8,6,10,7,5,8,8
774,Fabrika 775,15,8.525,8,6916,6780,10,15,7,9676,5054,8,7087,339136,5,45,5176,3,6137,6,10,17318,5197,10,14119,44,9,44,8,46,9,335922,3,581058,23,112,230,494,3,43642,38304,9,7,6,10,10,8,10,10,18,6,5,9,8,7,9,5,7,5,8,5,10,6,5,7,10
775,Fabrika 776,14,10.480,7,5528,7383,9,11,5,13137,6265,8,6013,291681,8,42,6348,3,4754,8,10,15192,6872,10,12996,33,7,27,10,26,8,207330,1,653061,29,118,223,768,3,41647,44057,5,10,7,5,6,8,9,5,18,6,7,9,8,5,5,7,7,10,9,5,7,8,9,5,9
776,Fabrika 777,10,9.814,9,4590,5298,5,14,6,11617,7012,5,4519,230871,22,36,4792,3,5909,10,10,16303,6727,10,12892,50,7,49,9,25,9,431424,5,982700,21,71,224,713,1,39216,38042,5,10,6,5,9,6,9,7,20,6,10,6,10,9,10,6,6,5,6,7,9,9,9,6,6
777,Fabrika 778,10,13.919,8,7082,7235,8,15,9,8438,4548,8,7048,392170,15,42,7458,2,5221,6,10,18171,7399,10,7954,60,7,48,8,39,6,383341,2,620929,73,69,219,605,2,43129,42991,6,5,8,9,7,5,5,6,20,6,8,7,9,6,8,5,9,9,6,8,9,7,7,5,5
778,Fabrika 779,14,9.802,5,7452,6252,6,7,6,14999,5282,7,5837,121604,16,29,4563,3,5604,10,10,17882,5164,10,14951,35,7,42,5,32,10,373436,4,964092,26,64,200,513,2,39485,41603,10,9,7,9,9,8,6,7,19,6,6,9,9,8,6,10,10,6,10,10,10,6,9,5,9
779,Fabrika 780,11,8.292,7,5454,5602,9,14,10,11802,7334,8,7275,382561,22,28,6171,3,4828,9,10,19430,5292,10,10751,58,5,37,7,40,9,321408,3,546282,63,89,206,603,1,43193,44503,9,10,5,7,10,5,8,9,12,6,6,7,5,9,5,7,5,10,6,6,10,6,6,8,6
780,Fabrika 781,15,11.859,9,4911,6287,5,8,8,9023,6022,6,5116,250345,13,46,4806,2,4856,7,10,16120,6280,10,10020,39,9,26,9,36,5,110180,3,639610,61,95,222,868,3,39344,42396,5,6,6,5,9,9,8,8,14,6,5,6,5,10,7,8,6,7,6,8,10,10,10,10,10
781,Fabrika 782,12,8.438,9,6254,6791,10,15,6,11245,4796,10,6557,226124,10,40,7379,2,6648,8,10,15326,5127,10,8999,20,7,46,6,28,5,411838,4,906691,20,113,228,514,1,42137,42459,8,9,10,9,9,5,9,6,12,6,10,5,6,7,10,10,5,7,7,9,5,6,8,6,8
782,Fabrika 783,11,11.380,5,5657,5838,10,10,5,13586,5559,10,4748,309942,17,47,6423,3,6359,5,10,15296,6190,10,9752,57,9,39,8,33,9,417315,4,910887,29,82,207,696,3,38534,39895,5,10,6,10,5,9,6,9,20,6,6,5,6,8,9,7,10,5,6,7,5,7,7,5,8
783,Fabrika 784,8,9.209,7,4935,6242,5,12,7,12816,5695,6,6845,315414,11,30,6399,2,4834,10,10,16989,5663,10,7690,29,8,36,10,36,7,185576,1,602199,80,113,225,883,2,44584,42151,5,5,6,7,6,9,8,7,17,6,6,10,5,10,5,5,10,5,6,5,5,6,5,8,6
784,Fabrika 785,13,14.174,6,6095,6897,7,12,7,10285,6260,9,5341,260873,6,26,5368,3,6884,6,10,15486,7085,10,8704,56,10,46,5,30,6,288432,1,895164,43,95,200,888,1,42535,38364,5,8,10,8,9,7,9,5,17,6,9,9,7,8,8,8,8,9,8,8,5,8,8,8,5
785,Fabrika 786,11,10.859,10,6753,7277,5,14,10,11711,7454,10,5902,297793,22,29,6561,2,7427,8,10,16948,6074,10,12982,40,9,48,10,27,8,278874,1,739471,21,108,236,883,2,37969,41460,8,9,7,10,8,8,7,9,17,6,9,9,10,5,9,7,6,10,7,10,5,10,6,7,8
786,Fabrika 787,9,10.464,9,7265,4976,6,12,7,8716,4989,6,5527,374121,7,25,6180,2,6087,5,10,17320,5665,10,9188,21,8,26,7,48,9,394187,3,712483,48,67,233,566,1,43227,38232,10,9,7,7,9,9,8,5,12,6,5,6,6,9,8,8,5,7,7,5,7,8,5,9,9
787,Fabrika 788,7,8.317,9,5237,5802,5,10,5,14574,5719,7,5676,149461,19,31,6522,2,7130,7,10,16872,6610,10,14416,38,9,49,9,46,5,334287,4,561857,63,92,205,464,1,43197,38357,9,6,6,6,5,5,10,7,13,6,6,9,6,10,8,5,9,9,6,9,5,8,8,6,9
788,Fabrika 789,8,10.472,7,5336,5194,6,7,7,12590,7352,9,4920,355037,22,25,4688,2,5036,9,10,18122,7458,10,9808,34,9,35,7,33,8,461000,5,743722,50,93,231,863,1,41791,39299,9,8,6,7,7,6,10,5,20,6,10,7,7,10,5,9,9,8,9,10,9,10,6,5,7
789,Fabrika 790,10,10.266,9,7440,6177,9,9,8,11907,6305,7,6550,144122,20,29,6447,3,6957,5,10,18031,7495,10,11854,43,7,35,8,43,8,167631,3,578773,42,101,212,674,2,41615,37953,6,7,9,10,6,9,5,8,16,6,5,7,7,5,10,7,5,6,5,5,5,9,10,8,8
790,Fabrika 791,15,7.953,6,6176,7179,8,15,5,14272,4573,10,4769,321225,12,32,5415,2,5249,6,10,16138,5592,10,8865,41,8,42,6,30,6,302384,1,514820,25,69,237,823,2,38111,40037,5,10,6,10,6,6,5,6,13,6,9,5,10,8,5,10,6,6,5,7,6,8,6,8,6
791,Fabrika 792,11,10.106,9,5410,5951,9,8,6,12844,4575,8,5923,403400,14,40,7000,2,5269,6,10,15585,4530,10,9308,43,8,31,6,40,7,340319,3,757813,20,105,228,524,1,40469,37206,9,6,6,5,5,9,8,5,13,6,6,10,5,6,9,8,6,10,10,7,5,8,9,8,6
792,Fabrika 793,9,7.870,5,7020,5385,9,14,10,11466,7240,9,5063,177036,14,33,7066,3,5824,5,10,18153,6576,10,7870,36,9,26,9,47,5,466643,3,728793,72,91,220,467,3,38450,44251,6,10,9,5,8,7,9,9,17,6,8,5,6,5,8,6,5,6,10,5,6,8,9,9,8
793,Fabrika 794,13,11.768,5,6106,5737,6,15,9,12505,6836,5,6553,438703,12,27,6179,3,6056,10,10,19508,4829,10,12999,53,7,35,5,41,6,488738,5,928604,49,112,227,925,3,39065,36393,7,7,10,6,8,8,9,6,14,6,5,5,7,8,8,7,6,7,8,9,7,7,5,9,10
794,Fabrika 795,9,11.750,10,6120,6752,10,12,9,10338,5220,6,7208,195735,18,41,6864,2,6208,7,10,18915,5129,10,11123,59,6,37,7,41,8,372391,5,740507,25,116,202,780,2,36494,44736,6,10,6,8,6,6,5,9,19,6,7,8,7,10,8,7,6,10,7,6,5,9,9,10,9
795,Fabrika 796,14,8.884,6,7400,6929,6,15,7,14436,4586,5,4665,324801,10,34,6924,2,5196,9,10,19453,6197,10,11986,55,5,47,10,43,8,340815,3,655750,44,103,209,605,2,35158,38232,8,5,7,5,6,9,5,5,20,6,8,7,6,7,10,7,7,9,6,7,6,7,8,10,5
796,Fabrika 797,12,13.436,8,6213,6969,10,11,9,8256,5953,6,6549,106713,12,28,7353,2,4938,9,10,18507,6017,10,11483,48,5,49,5,29,10,250760,3,616135,51,88,231,501,1,36157,39191,8,9,5,10,5,10,5,7,18,6,9,8,6,7,7,9,6,9,7,7,10,8,10,6,9
797,Fabrika 798,8,10.729,6,6417,5993,9,12,10,10787,7435,5,6469,137838,14,43,7034,2,6917,10,10,15848,4514,10,10405,22,9,45,9,28,6,177958,5,883289,62,90,220,573,3,35478,38336,10,10,8,5,5,6,9,6,14,6,5,5,10,8,9,7,8,7,9,5,10,10,8,10,6
798,Fabrika 799,13,8.612,9,4680,5819,10,8,10,8367,6523,6,6048,136117,3,40,6031,3,5257,9,10,15835,6275,10,11216,57,5,39,8,45,7,130275,3,831656,28,86,235,675,2,40035,36149,8,7,8,9,5,9,10,10,12,6,10,6,10,6,6,7,9,9,5,7,6,6,9,8,7
799,Fabrika 800,9,8.872,6,5655,6294,8,7,9,8984,5414,6,5175,472497,19,38,5613,2,6143,9,10,18056,6577,10,13989,42,8,39,8,47,10,312900,2,762485,33,120,226,855,3,35678,43131,5,8,10,5,10,6,7,5,15,6,10,7,5,5,10,10,5,9,5,10,9,8,9,9,10
800,Fabrika 801,10,8.449,5,7112,7484,8,12,8,14377,6669,10,5577,498557,11,34,6762,3,6775,10,10,18608,6235,10,12526,56,5,35,8,47,10,105031,2,733131,41,76,202,589,3,41081,40301,7,10,6,10,6,7,5,10,12,6,9,6,7,8,7,5,8,5,6,9,7,10,9,5,10
801,Fabrika 802,9,9.589,5,5050,7011,7,14,7,10135,4643,6,6782,483232,22,47,5900,3,6843,9,10,16485,6794,10,10045,44,5,34,9,39,7,492752,5,985419,20,77,235,634,3,43258,40401,7,7,8,8,8,10,9,10,18,6,10,5,8,7,7,7,9,7,5,8,7,10,10,7,6
802,Fabrika 803,9,14.170,6,7099,4935,5,10,9,11827,5369,5,6038,316174,9,36,5356,3,5199,10,10,15824,6042,10,13336,39,7,38,9,42,9,220574,4,811204,27,88,217,662,3,43670,40578,6,6,6,9,7,8,5,10,17,6,7,9,10,5,7,6,10,8,9,7,5,5,5,9,7
803,Fabrika 804,11,9.591,8,4902,7404,10,9,10,13829,5220,10,4695,242868,16,42,6431,3,6781,7,10,18486,5077,10,14652,44,9,50,10,28,5,130878,3,775187,47,62,206,699,1,41341,44152,8,6,5,9,9,5,8,9,13,6,5,7,6,10,10,9,10,8,5,7,10,7,7,8,8
804,Fabrika 805,9,9.126,9,5443,5192,6,9,6,12476,5717,7,5699,234343,6,31,5889,2,5375,9,10,16573,6629,10,7682,58,6,43,8,45,5,254644,1,894599,78,114,216,750,2,42880,43276,10,7,10,5,5,5,10,5,20,6,7,9,6,6,10,5,9,10,7,8,5,6,10,7,8
805,Fabrika 806,15,8.572,10,5068,6119,5,7,7,7869,5289,10,5292,201009,6,43,6483,3,4584,8,10,18386,5036,10,13923,40,7,49,6,27,9,440428,2,984657,37,62,233,765,1,38225,36895,8,10,6,10,7,7,10,6,19,6,9,7,7,10,6,7,5,7,8,10,9,5,5,6,10
806,Fabrika 807,13,8.180,8,6905,4763,6,7,7,13348,4983,6,6317,443392,8,25,7230,2,5659,6,10,17787,6276,10,9113,44,10,26,6,35,6,362679,5,849689,53,87,202,470,1,38764,43509,6,10,7,7,7,7,5,10,19,6,8,9,5,5,6,10,9,10,9,8,10,9,7,9,8
807,Fabrika 808,14,12.289,10,5734,4787,9,10,6,13647,6844,5,7319,335036,3,48,6697,3,6497,5,10,19370,5079,10,9015,60,8,46,7,50,6,229385,2,686027,41,92,237,705,3,36857,44085,7,5,6,6,5,7,7,7,16,6,7,6,9,6,7,9,5,9,5,6,10,8,5,8,7
808,Fabrika 809,14,14.561,8,7395,5554,7,14,5,13525,4548,8,6987,401026,12,37,5834,3,5559,7,10,19271,6891,10,12537,27,10,40,9,44,5,108249,3,596402,65,115,226,684,3,42433,44044,5,10,10,9,7,9,5,8,13,6,10,8,7,8,6,7,6,6,9,6,10,8,9,8,9
809,Fabrika 810,7,9.365,8,4848,5441,6,13,5,13979,5631,5,5570,161480,20,42,6165,3,5004,10,10,19609,4608,10,12508,38,6,42,5,48,5,149965,4,819493,78,120,205,745,1,42295,43737,8,8,10,10,8,9,9,5,15,6,6,8,10,6,10,8,9,10,7,9,10,9,7,9,9
810,Fabrika 811,7,11.138,8,7271,6732,7,7,7,9608,7089,9,7240,195117,8,28,5548,2,7196,10,10,15266,4988,10,7905,25,8,34,8,45,10,323952,5,599455,20,65,238,484,2,43641,38328,6,8,9,6,9,6,5,5,17,6,7,9,8,7,5,5,6,6,10,9,8,10,6,9,9
811,Fabrika 812,13,13.519,9,6319,5127,10,14,6,9485,6891,6,7221,348256,13,43,6946,2,5374,7,10,15909,5984,10,13012,43,8,49,5,46,5,321351,5,727999,22,111,230,897,1,38580,41973,7,5,5,9,7,6,7,10,15,6,5,5,6,10,10,5,8,7,7,10,10,7,9,5,8
812,Fabrika 813,15,10.751,7,7252,6784,5,7,6,9745,6957,7,5767,263337,11,32,7200,2,5963,6,10,17021,7292,10,14136,49,8,38,9,43,10,143319,5,959798,21,97,238,579,2,37395,36476,6,5,7,9,8,7,5,8,15,6,10,10,6,5,9,7,8,8,9,10,5,5,5,8,8
813,Fabrika 814,11,12.588,10,5638,6626,10,11,5,8418,5082,9,4718,288275,18,37,6786,3,4887,5,10,15752,4719,10,12883,46,8,47,7,30,9,128275,1,723159,52,80,234,672,2,38067,35229,7,7,8,7,7,8,7,8,12,6,6,5,8,8,8,6,7,6,8,7,7,8,8,9,5
814,Fabrika 815,7,9.031,5,5616,5629,6,15,5,12192,5824,5,7153,154842,12,29,4986,2,5941,9,10,17923,7061,10,13453,38,7,43,9,45,10,198416,1,793034,44,108,225,468,2,42059,38576,6,6,7,6,6,9,9,5,16,6,7,5,6,10,6,9,7,10,7,9,7,10,6,7,5
815,Fabrika 816,8,7.508,10,4560,6219,7,15,8,9732,5094,9,6906,396650,20,29,5112,3,5558,10,10,16019,7312,10,14738,40,7,49,8,25,8,444068,4,816154,36,67,208,627,1,40158,39781,8,6,5,9,7,7,7,6,14,6,7,8,8,9,5,6,9,8,6,8,10,7,7,10,10
816,Fabrika 817,9,14.017,8,4685,7310,5,12,5,10877,5241,10,4571,495127,16,28,5163,3,4612,7,10,18539,5885,10,7539,30,9,44,9,45,7,329765,4,641789,31,65,207,677,1,42417,36844,6,6,5,9,8,7,8,7,14,6,6,7,5,6,9,7,5,8,8,10,10,7,6,6,5
817,Fabrika 818,11,10.158,9,4739,5641,8,14,8,13353,6864,7,5246,407036,16,33,7481,3,7367,7,10,16322,5190,10,9046,56,5,42,10,37,10,198719,3,519050,68,91,224,523,1,38974,39571,10,9,7,6,9,8,8,7,12,6,10,6,8,10,6,9,9,8,10,8,9,9,6,9,6
818,Fabrika 819,7,11.087,5,4805,6681,5,7,9,8411,5016,7,7121,188976,15,31,5392,3,5111,5,10,17939,5164,10,12892,21,7,31,5,38,6,209929,2,588762,56,61,240,949,1,36358,40536,9,5,10,5,5,7,6,5,13,6,8,9,10,8,6,5,5,6,6,9,6,8,7,7,5
819,Fabrika 820,10,7.802,5,7403,5778,9,12,6,11947,4936,10,5881,428892,12,44,4743,2,4740,10,10,19471,5698,10,9100,43,8,34,6,42,5,160550,3,628249,79,113,215,596,3,38290,43095,8,5,7,8,5,7,6,9,12,6,7,6,10,10,9,8,6,5,9,5,6,6,7,6,6
820,Fabrika 821,11,9.401,8,5038,7450,8,7,5,13525,6629,10,5963,425396,18,26,7199,3,5327,5,10,16322,6882,10,10851,58,8,41,8,46,8,183509,1,623351,57,60,202,593,3,43197,40800,9,5,6,9,5,10,9,9,15,6,8,10,7,7,6,7,5,6,5,6,7,10,10,8,9
821,Fabrika 822,13,13.720,8,4548,6929,8,13,7,9340,6003,7,4998,396006,3,46,5216,3,4657,8,10,17758,4648,10,10638,20,8,36,5,29,6,474532,1,708006,62,79,226,560,1,44777,36830,9,7,6,7,7,6,9,7,16,6,6,7,8,6,10,6,9,7,7,6,10,5,6,9,8
822,Fabrika 823,12,13.772,10,5335,5726,9,14,10,12769,5299,10,6636,214795,22,41,5437,3,5595,7,10,16672,6378,10,7643,58,7,26,6,34,7,251204,3,660494,73,80,225,889,3,44948,37033,7,7,9,7,10,5,9,9,19,6,5,7,6,8,9,6,5,7,8,7,9,6,9,5,10
823,Fabrika 824,13,10.355,10,6178,4947,10,12,5,11769,6220,8,5433,436769,7,37,6559,2,7319,10,10,16289,5665,10,11961,31,9,31,8,44,8,471983,1,704227,78,60,203,702,2,39930,40190,9,9,10,10,8,6,7,10,12,6,5,5,9,10,5,5,9,6,7,10,7,5,6,9,5
824,Fabrika 825,11,14.207,9,6205,6724,6,10,6,11872,6489,8,5204,238756,14,38,4763,3,6744,8,10,16531,7165,10,9827,53,6,43,10,38,9,279047,2,913202,59,84,228,633,3,43242,35739,6,8,10,9,10,7,7,8,13,6,6,8,8,6,10,9,9,8,7,8,5,8,8,10,5
825,Fabrika 826,12,11.111,9,5605,6173,6,11,10,13750,4572,10,6116,281075,11,28,5951,2,5578,6,10,15258,5406,10,11469,31,8,49,5,47,5,317206,5,989738,58,66,209,628,1,42068,42163,10,9,7,9,9,8,9,10,14,6,8,7,6,7,8,5,6,9,8,10,9,9,9,10,10
826,Fabrika 827,11,13.258,10,4517,5481,10,8,6,7582,5535,9,5762,264752,6,29,5484,3,6167,6,10,17553,4855,10,13311,44,8,43,5,31,10,258630,4,632329,44,80,230,582,3,39401,41560,10,8,5,5,8,10,10,6,19,6,6,8,9,10,9,9,7,5,9,5,6,6,5,9,9
827,Fabrika 828,11,12.089,6,5626,4942,10,14,10,14889,5704,9,7454,275445,6,28,6229,3,5981,6,10,15522,5195,10,10527,26,8,48,8,27,9,102613,5,735705,70,115,208,906,2,39319,42149,5,5,5,10,8,7,10,9,14,6,10,10,6,5,5,8,8,9,7,9,6,6,8,10,9
828,Fabrika 829,7,8.402,10,6872,6974,7,8,7,10216,5231,7,6604,111985,11,31,7157,2,6841,7,10,15690,6123,10,10366,36,6,43,5,25,9,357322,4,697134,31,82,220,515,1,39596,43871,8,8,8,5,6,9,9,6,12,6,5,9,9,10,7,10,7,6,10,9,6,6,5,10,10
829,Fabrika 830,15,7.863,8,7033,5188,10,9,5,8108,5798,10,7352,343252,22,25,6385,2,5747,5,10,18446,5499,10,12824,45,8,35,7,35,9,140137,1,882904,78,103,223,589,1,40822,44285,7,7,10,7,8,8,9,5,14,6,6,9,10,8,6,5,5,10,9,9,8,7,9,5,5
830,Fabrika 831,13,10.006,6,5434,6038,8,11,5,8726,5163,8,7267,479325,22,44,5041,3,6199,9,10,16185,7281,10,11111,46,10,42,5,32,10,452636,3,992983,50,98,227,823,2,38462,35124,10,7,10,5,9,8,10,6,20,6,6,9,10,5,5,6,9,8,6,9,5,6,7,10,9
831,Fabrika 832,8,7.585,9,6302,4975,8,7,9,8061,6388,9,5618,281011,12,50,5616,3,6480,9,10,19962,5162,10,8327,47,10,31,10,50,9,358142,4,787929,78,115,228,562,2,40472,39823,10,7,6,10,8,6,10,8,16,6,5,10,6,10,9,7,5,6,7,8,9,8,5,6,8
